towns_station_name,police_station_id,police_station_name,police_kind,city,address,latitude,longitude,match_method,match_confidence,requires_manual_review,notes
תחנת מגדל העמק,10004411,תחנת מגדל-העמק,station,מגדל העמק,"רחוב פנינת העמק פינת שדרות הבנים, מגדל העמק",32.67764845,35.24705796,normalized_exact,0.99,FALSE,
תחנת מודיעין,10002277,תחנת מודיעין,station,מודיעין-מכבים-רעות,"דם המכבים 26 , מודיעין",31.9064241,35.00581763,exact,1,FALSE,
תחנת מודיעין עילית,10004054,תחנת מודיעין עילית,station,מודיעין עילית,"מעבר ניל""י על כביש 446 כ-400 מ' צפונית מכיכר הכניסה למודיעין עלית",31.94004825,35.0335596,exact,1,FALSE,
תחנת מוריה,10002521,תחנת מוריה (ירושלים),station,ירושלים,"הסדנא 14, ירושלים",31.75071482,35.21376274,qualified_name,0.95,FALSE,
תחנת מטה יהודה,15000597,תחנת מטה יהודה (בית שמש),station,בית שמש,"בסמוך לצומת הכניסה לנחם (מפגש הכבישים 38 ו-3856), בית שמש",31.76159799,34.99408396,qualified_name,0.95,FALSE,
תחנת מסובים,10001516,תחנת מסובים (אור יהודה),station,אור יהודה,"דרך לוד (סמוך לצומת תל השומר), אור יהודה",32.0367174,34.84556965,qualified_name,0.95,FALSE,
תחנת מעלה אדומים,10003314,תחנת מעלה אדומים,station,מעלה אדומים,"אגן הסהר 1, מעלה אדומים",31.76838819,35.29221833,exact,1,FALSE,
תחנת מעלות תרשיחא,10004484,תחנת מעלות תרשיחא,station,מעונה,"כביש 8833, מעונה",33.01665013,35.26340209,exact,1,FALSE,
תחנת משגב,10004513,תחנת משגב (רקפת),station,רקפת,"כביש 784, מול צומת הכניסה לרקפת",32.86097521,35.26441012,qualified_name,0.95,FALSE,
תחנת נהריה,10004302,תחנת נהריה,station,נהריה,"שדרות הנשיא בן צבי פינת דרך העצמאות, נהרייה",33.00602652,35.10099425,exact,1,FALSE,
תחנת נוף הגליל,10004453,תחנת נוף הגליל,station,נוף הגליל,"רחוב מעלה עלית פינת רחוב גלבוע, נוף הגליל",32.701756,35.31370239,exact,1,FALSE,
תחנת נצרת,10004426,תחנת נצרת,station,נצרת,רח' 6089 פינת רחוב 6077 (ליד העירייה),32.70635669,35.30025913,exact,1,FALSE,
תחנת נשר,15005224,תחנת נשר מחוז חוף,station,נשר,דרך השלום 25 נשר,32.76761499,35.05084338,qualified_name,0.95,FALSE,
תחנת נתיבות,10001930,תחנת נתיבות,station,נתיבות,"אחד עשר הנקודות 3, נתיבות (תחנה חדשה)",31.41519209,34.58873063,exact,1,FALSE,
תחנת נתניה,10002089,תחנת נתניה,station,נתניה,"וינר נחמה 6, נתניה",32.29481341,34.85432359,exact,1,FALSE,
תחנת עוז,15000705,תחנת עוז (ירושלים),station,ירושלים,"רחוב על""ר פינת רחוב מוחמד חמדאן רבאיעה, ירושלים",31.75242322,35.24176376,qualified_name,0.95,FALSE,
תחנת עירון,10004233,תחנת עירון (ואדי עארה),station,ערערה,כביש 65 (ואדי עארה) בין צומת הכניסה לערערה לצומת מי עמי,32.50694075,35.09798383,qualified_name,0.95,FALSE,
תחנת עכו,10004315,תחנת עכו,station,עכו,"ההגנה 16, עכו",32.92763282,35.07012247,exact,1,FALSE,
תחנת עפולה,10004394,תחנת עפולה,station,עפולה,"הנשיא וייצמן 7, עפולה",32.60970891,35.29024816,exact,1,FALSE,
תחנת עציון,15000586,תחנת עציון,station,ביתר עילית,"רחוב הרמ""ק(מתחם הביטחון), ביתר עילית",31.70654364,35.12316173,exact,1,FALSE,
תחנת ערד,10001911,תחנת ערד,station,ערד,"יהודה 45, ערד",31.25653777,35.21243337,exact,1,FALSE,
תחנת ערוער,15003711,תחנת ערוער,station,ערערה-בנגב,"שכונה 5 מתחם 900(טיפת חלב לשעבר), ערערה-בנגב",31.15992399,35.0178698,exact,1,FALSE,
תחנת פתח תקווה,10002116,תחנת פתח-תקווה,station,פתח תקווה,"שטמפפר יהושע 53, פתח תקווה",32.09279559,34.88788256,normalized_exact,0.99,FALSE,
תחנת צפת,10004528,תחנת צפת,station,צפת,"סמוך לצומת הרחובות דרך הגליל ו- ל""א, צפת",32.97063013,35.50245718,exact,1,FALSE,
תחנת קרית אתא,,,,,,,,unresolved,0,FALSE,Only מרחב גליל is located in Kiryat Ata; no station record with this name exists.
תחנת קרית גת,10001813,תחנת קרית גת,station,קרית גת,"לכיש 2, קריית גת",31.60488426,34.77500101,exact,1,FALSE,
תחנת קרית מלאכי,10001821,תחנת קרית-מלאכי,station,קרית מלאכי,"רחוב משה שרת (בסמוך להיכל התרבות), קריית מלאכי",31.72716322,34.74831271,normalized_exact,0.99,FALSE,
תחנת קרית שמונה,10004591,תחנת קרית-שמונה,station,קרית שמונה,"המכבים 8, קריית שמונה",33.212774,35.56809332,normalized_exact,0.99,FALSE,
תחנת ראש העין,10002168,תחנת ראש העין,station,ראש העין,"צה""ל 20, ראש העין",32.09877897,34.94541905,exact,1,FALSE,
תחנת ראשון לציון,10002207,תחנת ראשון לציון,station,ראשון לציון,"ז'בוטינסקי 106, ראשון לציון (הכניסה מרחוב גרשון מן 1)",31.97462646,34.79716626,exact,1,FALSE,
תחנת רהט,10001946,תחנת רהט,station,רהט,"רחוב עומר אל מוכתאר, בסמוך ליציאה הצפונית (בין כיכר אבן חלדון לכיכר סובאלה), רהט",31.40313158,34.75532362,exact,1,FALSE,
תחנת רחובות,10002241,תחנת רחובות,station,רחובות,"הרצל 206, רחובות",31.89989946,34.81051929,exact,1,FALSE,
תחנת רמלה,10002228,תחנת רמלה,station,רמלה,"הרצל 80 (סמוך לעירייה), רמלה",31.93003563,34.86936512,exact,1,FALSE,
תחנת שגב שלום,15001466,נקודת שגב שלום,post,שגב-שלום,"בכניסה לישוב, ליד מעגל התנועה - צומת שיח' עודה - אחמד זוויל",31.20848824,34.84241804,kind_changed,0.85,FALSE,"Matched by locality/name to נקודת שגב שלום, whose kind is post rather than station."
תחנת שדות,15000060,תחנת שדות (קדימה-צורן),station,קדימה צורן,"הרצל 36, קדימה-צורן",32.28275924,34.90809398,qualified_name,0.95,FALSE,
תחנת שדרות,10001829,תחנת שדרות,station,שדרות,"פארק תעשיות ספירים, רחוב תאנה 1, שדרות",31.51345588,34.60129878,exact,1,FALSE,
תחנת שלם,15000706,תחנת שלם (ירושלים),station,ירושלים,"רחוב סאלח אל-דין פינת רחוב אבן סינא, ירושלים",31.78389071,35.23354115,qualified_name,0.95,FALSE,
תחנת שפט,10002443,תחנת שפט (ירושלים),station,ירושלים,"גולדברג לאה 1, ירושלים",31.84217467,35.2406588,qualified_name,0.95,FALSE,
תחנת שפרעם,10004497,תחנת שפרעם,station,שפרעם,"השכונה המערבית (אל פוואר), שפרעם",32.81389789,35.16797689,exact,1,FALSE,
תחנת שרת,10003709,"תחנת שר""ת (תל אביב)",station,תל אביב - יפו,"המסגר 12, תל אביב-יפו",32.06116843,34.7849864,qualified_name,0.95,FALSE,
תחנת תבור,15002472,נקודת תבור,post,עפולה,"הנשיא וייצמן 7, עפולה (תחנת תבור יושבת זמנית במבנה תחנת עפולה)",32.60980821,35.2900778,kind_changed,0.85,FALSE,"Matched to נקודת תבור, whose kind is post rather than station."
תחנת תל אביב דרום,,,,,,,,unresolved,0,TRUE,No unambiguous equivalent; possible renamed/reorganized Tel Aviv station.
תחנת תל אביב צפון,10001627,תחנת תל אביב צפון,station,תל אביב - יפו,"ולנברג ראול 10, תל אביב -יפו",32.10815703,34.8359986,exact,1,FALSE,
